square,model,train_seconds,predict_seconds,mae,mape,rmse
5161,SARIMA,6.574,92.242,82.5672405288662,8.536347929392377,124.25572704502558
5161,GBM,3.132,6.265,80.66846729367708,8.639132326044416,117.48365694780128
5161,LSTM,34.755,2.408,91.45994058875331,9.720636943014615,136.58362603936084
5059,SARIMA,20.317,101.515,71.35984254333815,8.095990012784437,98.15001516559632
5059,GBM,3.351,8.072,69.72817089092517,7.330902531971679,99.16120017395924
5059,LSTM,80.798,2.618,75.93121123616089,8.476001582709099,105.25729075799015
5259,SARIMA,15.914,111.873,69.78683625293307,8.55645191952419,96.49055278224826
5259,GBM,3.425,8.123,64.39313121306911,7.230159622868877,90.62504559883322
5259,LSTM,80.141,2.681,76.00668520451775,9.045988693345777,107.12133018790145
